[2026-04-20T04:10:39Z] [INFO] [SYSTEM] [EVT_1776658239_97d681ab] Logger initialised
[2026-04-20T04:10:39Z] [INFO] [SYSTEM] [EVT_1776658239_3255536a] Server started
[2026-04-20T04:10:45Z] [INFO] [SYSTEM] [EVT_1776658245_3c56e247] GET /api/v1/stats 200 505.8µs 616B | IP: ::1
[2026-04-20T04:10:45Z] [INFO] [SYSTEM] [EVT_1776658245_642642d0] GET /api/v1/queue/stats 200 0s 150B | IP: ::1
[2026-04-20T04:10:45Z] [INFO] [SYSTEM] [EVT_1776658245_8b396d5c] GET /api/v1/agents 200 0s 49B | IP: ::1
[2026-04-20T04:10:45Z] [INFO] [SYSTEM] [EVT_1776658245_bb8967ec] Dashboard accessed | IP: ::1
[2026-04-20T04:10:45Z] [INFO] [SYSTEM] [EVT_1776658245_76b6f293] GET / 200 5.1585ms 47470B | IP: ::1
[2026-04-20T04:10:45Z] [INFO] [SYSTEM] [EVT_1776658245_2cd400ff] GET /api/v1/stats 200 0s 617B | IP: ::1
[2026-04-20T04:10:45Z] [INFO] [SYSTEM] [EVT_1776658245_346c72b8] GET /api/v1/queue/stats 200 0s 150B | IP: ::1
[2026-04-20T04:10:45Z] [INFO] [SYSTEM] [EVT_1776658245_7334b7f2] GET /api/v1/agents 200 0s 49B | IP: ::1
[2026-04-20T04:10:56Z] [INFO] [SYSTEM] [EVT_1776658256_8cec3979] GET /api/v1/stats 200 0s 621B | IP: ::1
[2026-04-20T04:10:56Z] [INFO] [SYSTEM] [EVT_1776658256_b755acbd] GET /api/v1/queue/stats 200 0s 150B | IP: ::1
[2026-04-20T04:11:01Z] [INFO] [SYSTEM] [EVT_1776658261_90626352] GET /api/v1/agents 200 0s 49B | IP: ::1
[2026-04-20T04:11:06Z] [INFO] [SYSTEM] [EVT_1776658266_974c6d7d] GET /api/v1/stats 200 0s 621B | IP: ::1
[2026-04-20T04:11:06Z] [INFO] [SYSTEM] [EVT_1776658266_38e20ab1] GET /api/v1/queue/stats 200 0s 150B | IP: ::1
[2026-04-20T04:11:16Z] [INFO] [SYSTEM] [EVT_1776658276_f0c8ef21] GET /api/v1/stats 200 0s 620B | IP: ::1
[2026-04-20T04:11:16Z] [INFO] [SYSTEM] [EVT_1776658276_167173f4] GET /api/v1/queue/stats 200 0s 150B | IP: ::1
[2026-04-20T04:11:16Z] [INFO] [SYSTEM] [EVT_1776658276_430b68d3] GET /api/v1/agents 200 0s 49B | IP: ::1
[2026-04-20T04:11:26Z] [INFO] [SYSTEM] [EVT_1776658286_402cea0e] GET /api/v1/stats 200 938.2µs 621B | IP: ::1
[2026-04-20T04:11:26Z] [INFO] [SYSTEM] [EVT_1776658286_b0fd2c96] GET /api/v1/queue/stats 200 1.351ms 150B | IP: ::1
[2026-04-20T04:11:31Z] [INFO] [SYSTEM] [EVT_1776658291_76e3a7ca] GET /api/v1/agents 200 0s 49B | IP: ::1
[2026-04-20T04:11:36Z] [INFO] [SYSTEM] [EVT_1776658296_79694831] GET /api/v1/stats 200 0s 621B | IP: ::1
[2026-04-20T04:11:36Z] [INFO] [SYSTEM] [EVT_1776658296_7594098d] GET /api/v1/queue/stats 200 0s 150B | IP: ::1
[2026-04-20T04:11:46Z] [INFO] [SYSTEM] [EVT_1776658306_2efd698d] GET /api/v1/stats 200 0s 622B | IP: ::1
[2026-04-20T04:11:46Z] [INFO] [SYSTEM] [EVT_1776658306_08eadbcf] GET /api/v1/queue/stats 200 0s 150B | IP: ::1
[2026-04-20T04:11:46Z] [INFO] [SYSTEM] [EVT_1776658306_80cd813c] GET /api/v1/agents 200 0s 49B | IP: ::1
[2026-04-20T04:12:01Z] [INFO] [SYSTEM] [EVT_1776658321_a98c3107] GET /api/v1/agents 200 0s 49B | IP: ::1
